User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
3,Xiaomi Mi 11,Android,154,4.0,761,32,322,42,Male,2
14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,3
31,Xiaomi Mi 11,Android,260,6.0,1361,44,889,37,Female,3
32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,3
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3
45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,2
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,3
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2
59,Xiaomi Mi 11,Android,428,7.0,2306,75,1144,22,Male,4
61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,5
62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,4
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1
64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,5
68,Xiaomi Mi 11,Android,134,4.0,773,35,449,28,Female,2
74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,1
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3
77,Xiaomi Mi 11,Android,34,2.0,558,14,122,54,Female,1
83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,4
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4
104,Xiaomi Mi 11,Android,274,4.2,1781,52,934,28,Male,3
105,Xiaomi Mi 11,Android,166,2.8,1113,28,360,25,Male,2
106,Xiaomi Mi 11,Android,66,1.2,585,12,264,36,Male,1
109,Xiaomi Mi 11,Android,187,5.5,1754,55,711,50,Female,3
112,Xiaomi Mi 11,Android,488,8.6,2447,84,2344,19,Male,5
115,Xiaomi Mi 11,Android,471,7.9,2156,76,1324,54,Female,4
129,Xiaomi Mi 11,Android,125,2.5,678,34,465,31,Male,2
130,Xiaomi Mi 11,Android,97,3.3,751,39,412,36,Female,2
132,Xiaomi Mi 11,Android,320,7.2,2056,69,1226,52,Female,4
135,Xiaomi Mi 11,Android,83,1.6,303,19,285,51,Male,1
138,Xiaomi Mi 11,Android,237,4.5,1368,42,868,24,Female,3
141,Xiaomi Mi 11,Android,219,5.2,1510,42,655,50,Female,3
148,Xiaomi Mi 11,Android,52,1.6,385,19,234,24,Male,1
155,Xiaomi Mi 11,Android,68,1.5,364,10,102,31,Female,1
156,Xiaomi Mi 11,Android,158,3.4,893,36,493,32,Male,2
157,Xiaomi Mi 11,Android,86,1.7,439,19,136,54,Male,1
158,Xiaomi Mi 11,Android,339,7.8,2102,71,1062,51,Male,4
160,Xiaomi Mi 11,Android,131,2.4,859,26,305,40,Male,2
162,Xiaomi Mi 11,Android,53,1.9,526,15,112,42,Male,1
165,Xiaomi Mi 11,Android,278,4.8,1238,48,851,43,Female,3
166,Xiaomi Mi 11,Android,540,8.4,2993,98,1540,49,Female,5
171,Xiaomi Mi 11,Android,92,3.7,1124,27,524,44,Male,2
175,Xiaomi Mi 11,Android,51,1.6,509,11,113,29,Female,1
177,Xiaomi Mi 11,Android,255,5.4,1738,42,826,21,Male,3
179,Xiaomi Mi 11,Android,207,5.7,1582,52,692,38,Male,3
185,Xiaomi Mi 11,Android,597,10.4,2984,91,1564,34,Female,5
200,Xiaomi Mi 11,Android,126,2.8,971,32,431,35,Female,2
203,Xiaomi Mi 11,Android,88,1.3,327,11,262,22,Male,1
206,Xiaomi Mi 11,Android,301,6.5,2084,71,1421,29,Male,4
214,Xiaomi Mi 11,Android,41,1.1,588,10,246,22,Male,1
220,Xiaomi Mi 11,Android,101,3.2,603,28,417,43,Male,2
223,Xiaomi Mi 11,Android,351,6.1,1941,79,1290,21,Female,4
226,Xiaomi Mi 11,Android,511,10.8,2712,97,2438,59,Female,5
227,Xiaomi Mi 11,Android,384,7.0,2185,72,1376,59,Male,4
233,Xiaomi Mi 11,Android,537,10.0,2720,83,1763,35,Male,5
236,Xiaomi Mi 11,Android,37,1.4,369,18,295,19,Female,1
242,Xiaomi Mi 11,Android,564,11.7,2764,81,2133,37,Female,5
249,Xiaomi Mi 11,Android,168,4.0,866,22,581,50,Female,2
254,Xiaomi Mi 11,Android,100,2.4,982,31,478,48,Female,2
257,Xiaomi Mi 11,Android,424,7.7,1863,65,1116,52,Male,4
258,Xiaomi Mi 11,Android,272,5.0,1655,45,686,19,Female,3
259,Xiaomi Mi 11,Android,201,4.0,1791,50,914,18,Male,3
260,Xiaomi Mi 11,Android,570,9.0,2613,98,2497,49,Female,5
261,Xiaomi Mi 11,Android,64,1.3,490,14,151,43,Female,1
266,Xiaomi Mi 11,Android,563,8.4,2849,85,1508,25,Male,5
271,Xiaomi Mi 11,Android,426,6.5,1969,78,1266,53,Female,4
277,Xiaomi Mi 11,Android,269,5.9,1666,42,629,32,Female,3
279,Xiaomi Mi 11,Android,85,1.6,417,12,122,47,Male,1
282,Xiaomi Mi 11,Android,39,1.7,530,11,268,26,Female,1
288,Xiaomi Mi 11,Android,211,4.0,1519,54,811,29,Female,3
294,Xiaomi Mi 11,Android,226,4.5,1781,45,649,27,Female,3
300,Xiaomi Mi 11,Android,122,3.3,748,35,499,59,Female,2
301,Xiaomi Mi 11,Android,420,6.5,2113,65,1314,35,Male,4
314,Xiaomi Mi 11,Android,130,3.0,820,21,308,49,Female,2
324,Xiaomi Mi 11,Android,76,1.3,490,14,156,31,Female,1
363,Xiaomi Mi 11,Android,78,1.5,341,11,259,38,Female,1
365,Xiaomi Mi 11,Android,579,8.6,2539,84,1935,34,Male,5
367,Xiaomi Mi 11,Android,516,11.6,2464,82,1767,29,Female,5
389,Xiaomi Mi 11,Android,563,11.6,2968,92,2191,34,Female,5
390,Xiaomi Mi 11,Android,119,2.8,775,31,313,50,Female,2
396,Xiaomi Mi 11,Android,472,6.8,2288,61,1356,52,Male,4
397,Xiaomi Mi 11,Android,78,1.1,437,14,143,27,Female,1
401,Xiaomi Mi 11,Android,522,11.1,2821,86,1891,42,Male,5
407,Xiaomi Mi 11,Android,147,3.2,994,33,567,25,Female,2
412,Xiaomi Mi 11,Android,575,8.2,2918,88,1928,50,Male,5
417,Xiaomi Mi 11,Android,264,5.1,1293,52,737,27,Female,3
419,Xiaomi Mi 11,Android,202,4.9,1549,43,964,27,Female,3
424,Xiaomi Mi 11,Android,46,1.1,536,18,167,28,Female,1
429,Xiaomi Mi 11,Android,94,2.3,1033,33,369,58,Male,2
430,Xiaomi Mi 11,Android,540,10.1,2757,90,2180,37,Male,5
436,Xiaomi Mi 11,Android,105,3.4,798,21,467,34,Female,2
465,Xiaomi Mi 11,Android,68,1.3,583,10,281,26,Female,1
469,Xiaomi Mi 11,Android,429,7.5,1921,61,1102,46,Male,4
470,Xiaomi Mi 11,Android,39,1.9,541,16,294,37,Male,1
472,Xiaomi Mi 11,Android,541,9.4,2452,93,1811,53,Female,5
473,Xiaomi Mi 11,Android,139,3.0,697,37,513,26,Female,2
475,Xiaomi Mi 11,Android,210,4.9,1657,55,765,49,Female,3
484,Xiaomi Mi 11,Android,78,1.6,470,18,230,49,Female,1
486,Xiaomi Mi 11,Android,80,1.1,417,18,298,36,Male,1
489,Xiaomi Mi 11,Android,416,7.3,1882,62,1333,32,Female,4
493,Xiaomi Mi 11,Android,87,1.5,594,19,198,36,Female,1
502,Xiaomi Mi 11,Android,420,7.7,2017,74,1187,24,Female,4
503,Xiaomi Mi 11,Android,582,8.4,2664,91,2493,55,Female,5
507,Xiaomi Mi 11,Android,238,5.1,1408,45,941,27,Male,3
508,Xiaomi Mi 11,Android,33,2.0,318,11,173,42,Female,1
517,Xiaomi Mi 11,Android,120,3.8,940,36,535,44,Male,2
523,Xiaomi Mi 11,Android,438,6.5,1849,64,1125,49,Female,4
531,Xiaomi Mi 11,Android,589,11.8,2629,86,2479,43,Female,5
534,Xiaomi Mi 11,Android,190,4.7,1276,57,915,22,Female,3
551,Xiaomi Mi 11,Android,455,6.2,1984,72,1287,42,Male,4
556,Xiaomi Mi 11,Android,201,4.9,1633,41,972,32,Female,3
562,Xiaomi Mi 11,Android,121,2.1,1188,21,578,18,Male,2
565,Xiaomi Mi 11,Android,290,4.4,1272,55,910,44,Male,3
575,Xiaomi Mi 11,Android,519,10.9,2571,93,2163,47,Female,5
587,Xiaomi Mi 11,Android,197,4.4,1665,44,608,43,Female,3
595,Xiaomi Mi 11,Android,447,6.3,1959,63,1441,48,Male,4
597,Xiaomi Mi 11,Android,511,10.8,2529,91,2387,21,Male,5
608,Xiaomi Mi 11,Android,203,4.0,1323,56,787,21,Male,3
609,Xiaomi Mi 11,Android,258,4.9,1596,56,937,40,Female,3
612,Xiaomi Mi 11,Android,57,1.3,489,16,131,37,Male,1
613,Xiaomi Mi 11,Android,553,10.2,2911,82,2441,44,Male,5
623,Xiaomi Mi 11,Android,453,7.4,2363,65,1046,41,Female,4
629,Xiaomi Mi 11,Android,47,1.2,437,18,234,55,Male,1
638,Xiaomi Mi 11,Android,83,1.1,546,10,289,32,Female,1
646,Xiaomi Mi 11,Android,174,2.9,1197,23,345,20,Female,2
650,Xiaomi Mi 11,Android,186,5.4,1627,58,790,31,Female,3
653,Xiaomi Mi 11,Android,206,5.2,1632,47,694,30,Male,3
658,Xiaomi Mi 11,Android,278,5.3,1368,56,894,40,Female,3
659,Xiaomi Mi 11,Android,463,6.8,2358,68,1236,43,Female,4
660,Xiaomi Mi 11,Android,505,9.6,2464,91,2375,35,Male,5
662,Xiaomi Mi 11,Android,138,3.1,947,29,545,48,Male,2
663,Xiaomi Mi 11,Android,130,3.2,1189,37,448,45,Male,2
665,Xiaomi Mi 11,Android,555,10.3,2568,83,2003,52,Male,5
673,Xiaomi Mi 11,Android,500,11.2,2925,84,2438,27,Male,5
675,Xiaomi Mi 11,Android,522,11.4,2776,93,1768,27,Female,5
676,Xiaomi Mi 11,Android,81,1.5,545,17,159,40,Male,1
682,Xiaomi Mi 11,Android,380,7.6,2354,77,1191,30,Male,4
683,Xiaomi Mi 11,Android,190,5.5,1718,58,815,42,Male,3
686,Xiaomi Mi 11,Android,412,6.6,1859,67,1393,18,Male,4
693,Xiaomi Mi 11,Android,378,6.7,1898,78,1455,48,Female,4
694,Xiaomi Mi 11,Android,505,8.6,2792,82,1709,31,Male,5
697,Xiaomi Mi 11,Android,316,6.8,1965,68,1201,59,Male,4
